(0, 0)
(0, -1)
(0, -2)
(0, -3)
(-1, -4)
(-2, -5)
(-3, -6)
(-3, -7)
(-4, -8)
(-5, -8)
(-6, -8)
(-7, -8)
(-8, -8)
(-9, -7)
(-9, -6)
(-9, -5)
(-9, -4)
(-9, -3)
(-9, -2)
(-9, -1)
(-10, 0)
(-10, 1)
(-10, 2)
(-10, 3)
(-11, 4)
(-12, 5)
(-12, 4)
(-12, 3)
(-12, 2)
(-11, 1)
(-10, 0)
(-9, -1)
(-9, -2)
(-9, -3)
(-9, -4)
(-9, -5)
(-9, -6)
(-9, -7)
(-8, -7)
(-7, -8)
(-6, -8)
(-5, -8)
(-4, -8)
(-4, -7)
(-4, -6)
(-4, -5)
(-4, -4)
(-3, -3)
(-2, -2)
(-1, -1)
(0, 0)
(0, -1)
(0, -2)
(0, -3)
(0, -4)
(0, -5)
(0, -6)
(0, -7)
(0, -8)
(0, -9)
(0, -10)
(0, -11)
(0, -12)
(0, -13)
(0, -14)
(0, -15)
(0, -16)
(0, -17)
(-1, -18)
(-2, -19)
(-2, -20)
(-2, -21)
(-2, -22)
(-2, -23)
(-2, -24)
(-2, -25)
(-2, -26)
(-2, -27)
(-2, -28)
(-1, -29)
(0, -30)
(1, -30)
(2, -30)
(3, -30)
(4, -29)
(5, -28)
(6, -27)
(7, -27)
(8, -27)
(9, -26)
(10, -25)
(11, -24)
(12, -23)
(13, -22)
(14, -21)
(15, -21)
(16, -21)
(17, -21)
(18, -21)
(19, -22)
(19, -21)
(19, -20)
(19, -19)
(19, -18)
(19, -17)
(19, -16)
(19, -15)
(19, -14)
(19, -13)
(19, -12)
(19, -11)
(19, -10)
(19, -9)
(18, -9)
(17, -9)
(16, -9)
(15, -9)
(14, -8)
(13, -7)
(12, -6)
(11, -5)
(10, -4)
(9, -3)
(8, -2)
(7, -1)
(6, -1)
(5, -1)
(4, -1)
(3, -1)
(2, -1)
(1, -1)
(0, 0)
(1, 0)
(2, 0)
(3, 0)
(4, -1)
(5, -1)
(6, -1)
(7, -1)
(8, 0)
(9, 0)
(10, 0)
(11, 0)
(12, 1)
(13, 2)
(14, 3)
(15, 4)
(16, 4)
(17, 4)
(18, 4)
(19, 4)
(20, 4)
(21, 4)
(22, 4)
(23, 4)
(24, 4)
(25, 4)
(26, 4)
(27, 4)
(28, 4)
(29, 4)
(30, 3)
(30, 2)
(30, 1)
(29, 0)
(29, -1)
(28, -2)
(27, -3)
(26, -4)
(25, -5)
(25, -6)
(25, -7)
(25, -8)
(25, -9)
(25, -10)
(24, -11)
(23, -11)
(22, -11)
(21, -11)
(20, -10)
(19, -9)
(18, -9)
(17, -9)
(16, -9)
(15, -9)
(14, -8)
(13, -7)
(12, -6)
(11, -5)
(10, -4)
(9, -3)
(8, -2)
(7, -1)
(6, -1)
(5, -1)
(4, -1)
(3, -1)
(2, -1)
(1, -1)
(0, 0)
